Entry	Reviewed	Gene Names	Proteomes	Gene Ontology (cellular component)
Q9H2K8	reviewed	TAOK3 DPK JIK KDS MAP3K18	UP000005640: Chromosome 12	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q9H2L4	reviewed	TMEM60 C7orf35 DC32	UP000005640: Chromosome 7	membrane [GO:0016020]
Q9H2L5	reviewed	RASSF4 AD037	UP000005640: Chromosome 10	
Q9H2M3	reviewed	BHMT2	UP000005640: Chromosome 5	cytosol [GO:0005829]; extracellular exosome [GO:0070062]
Q9H2M9	reviewed	RAB3GAP2 KIAA0839	UP000005640: Chromosome 1	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q9H2P0	reviewed	ADNP ADNP1 KIAA0784	UP000005640: Chromosome 20	axon [GO:0030424]; chromatin [GO:0000785]; dendrite [GO:0030425]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q9H2P9	reviewed	DPH5 AD-018 CGI-30 HSPC143 NPD015	UP000005640: Chromosome 1	cytosol [GO:0005829]
Q9H2R5	reviewed	KLK15	UP000005640: Chromosome 19	extracellular region [GO:0005576]; secretory granule [GO:0030141]
Q9H2S1	reviewed	KCNN2	UP000005640: Chromosome 5	cell surface [GO:0009986]; dendritic spine [GO:0043197]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; Z disc [GO:0030018]
Q9H2S5	reviewed	RNF39 HZFW	UP000005640: Chromosome 6	cytoplasm [GO:0005737]
Q9H2S6	reviewed	TNMD CHM1L UNQ771/PRO1565	UP000005640: Chromosome X	cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear envelope [GO:0005635]
Q9H2S9	reviewed	IKZF4 KIAA1782 ZNFN1A4	UP000005640: Chromosome 12	nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9H2U1	reviewed	DHX36 DDX36 KIAA1488 MLEL1 RHAU	UP000005640: Chromosome 3	axon [GO:0030424]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]
Q9H2U2	reviewed	PPA2 HSPC124	UP000005640: Chromosome 4	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; synapse [GO:0045202]
Q9H2U9	reviewed	ADAM7 GP83	UP000005640: Chromosome 8	plasma membrane [GO:0005886]
Q9H2V7	reviewed	SPNS1 SPIN1 PP20300	UP000005640: Chromosome 16	lysosomal membrane [GO:0005765]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]
Q9H2W1	reviewed	MS4A6A 4SPAN3 CD20L3 MS4A6 CDA01 MSTP090	UP000005640: Chromosome 11	plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
Q9H2W2	reviewed	MIXL1 MIXL	UP000005640: Chromosome 1	chromatin [GO:0000785]; nucleoplasm [GO:0005654]
Q9H2X0	reviewed	CHRD UNQ217/PRO243	UP000005640: Chromosome 3	extracellular space [GO:0005615]
Q9H2X3	reviewed	CLEC4M CD209L CD209L1 CD299	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; host cell [GO:0043657]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9H2X6	reviewed	HIPK2	UP000005640: Chromosome 7	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; RNA polymerase II transcription regulator complex [GO:0090575]
Q9H2X9	reviewed	SLC12A5 KCC2 KIAA1176	UP000005640: Chromosome 20	cell periphery [GO:0071944]; dendrite membrane [GO:0032590]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q9H2Y7	reviewed	ZNF106 SH3BP3 ZFP106 ZNF474	UP000005640: Chromosome 15	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]
Q9H300	reviewed	PARL PSARL PRO2207	UP000005640: Chromosome 3	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q9H305	reviewed	CDIP1 C16orf5 CDIP LITAFL	UP000005640: Chromosome 16	cytoplasmic side of late endosome membrane [GO:0098560]; cytoplasmic side of lysosomal membrane [GO:0098574]; nucleus [GO:0005634]
Q9H306	reviewed	MMP27 UNQ2503/PRO5992	UP000005640: Chromosome 11	endoplasmic reticulum membrane [GO:0005789]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
Q9H307	reviewed	PNN DRS MEMA	UP000005640: Chromosome 14	catalytic step 2 spliceosome [GO:0071013]; cell-cell junction [GO:0005911]; desmosome [GO:0030057]; intermediate filament [GO:0005882]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q9H310	reviewed	RHBG	UP000005640: Chromosome 1	basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]; spectrin-associated cytoskeleton [GO:0014731]
Q9H313	reviewed	TTYH1	UP000005640: Chromosome 19	chloride channel complex [GO:0034707]; filopodium membrane [GO:0031527]; filopodium tip [GO:0032433]; membrane [GO:0016020]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum membrane [GO:0030868]; synapse [GO:0045202]
Q9H324	reviewed	ADAMTS10	UP000005640: Chromosome 19	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]
Q9H329	reviewed	EPB41L4B EHM2 LULU2	UP000005640: Chromosome 9	apical part of cell [GO:0045177]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q9H334	reviewed	FOXP1 HSPC215	UP000005640: Chromosome 3	chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H361	reviewed	PABPC3 PABP3 PABPL3	UP000005640: Chromosome 13	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
Q9H3D4	reviewed	TP63 KET P63 P73H P73L TP73L	UP000005640: Chromosome 3	chromatin [GO:0000785]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H3F6	reviewed	KCTD10 ULR061 MSTP028	UP000005640: Chromosome 12	Cul3-RING ubiquitin ligase complex [GO:0031463]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q9H3H1	reviewed	TRIT1 IPT MOD5	UP000005640: Chromosome 1	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9H3H3	reviewed	C11orf68 BLES03	UP000005640: Chromosome 11	
Q9H3H5	reviewed	DPAGT1 DPAGT2	UP000005640: Chromosome 11	endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]
Q9H3J6	reviewed	MTRFR C12orf65 My030	UP000005640: Chromosome 12	mitochondrion [GO:0005739]
Q9H3K2	reviewed	GHITM DERP2 MICS1 TMBIM5 My021 UNQ244/PRO281	UP000005640: Chromosome 10	extracellular exosome [GO:0070062]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q9H3K6	reviewed	BOLA2 BOLA2A My016; BOLA2B	UP000005640: Chromosome 16	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron-sulfur cluster assembly complex [GO:1990229]; nucleus [GO:0005634]
Q9H3L0	reviewed	MMADHC C2orf25 CL25022 HSPC161 My011	UP000005640: Chromosome 2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q9H3M0	reviewed	KCNF1	UP000005640: Chromosome 2	ciliary base [GO:0097546]; membrane [GO:0016020]; plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]
Q9H3M7	reviewed	TXNIP VDUP1	UP000005640: Chromosome 1	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9H3N1	reviewed	TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268	UP000005640: Chromosome 14	endomembrane system [GO:0012505]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; mitochondria-associated endoplasmic reticulum membrane contact site [GO:0044233]; mitochondrial membrane [GO:0031966]
Q9H3N8	reviewed	HRH4 GPCR105	UP000005640: Chromosome 18	dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q9H3P2	reviewed	NELFA WHSC2 P/OKcl.15	UP000005640: Chromosome 4	cytosol [GO:0005829]; NELF complex [GO:0032021]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H3P7	reviewed	ACBD3 GCP60 GOCAP1 GOLPH1	UP000005640: Chromosome 1	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; mitochondrion [GO:0005739]
Q9H3Q1	reviewed	CDC42EP4 BORG4 CEP4	UP000005640: Chromosome 17	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; microtubule cytoskeleton [GO:0015630]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]
Q9H3Q3	reviewed	GAL3ST2 GP3ST	UP000005640: Chromosome 2	Golgi cisterna membrane [GO:0032580]; membrane [GO:0016020]
Q9H3R0	reviewed	KDM4C GASC1 JHDM3C JMJD2C KIAA0780	UP000005640: Chromosome 9	chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]
Q9H3R1	reviewed	NDST4 HSST4	UP000005640: Chromosome 4	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]
Q9H3R2	reviewed	MUC13 DRCC1 RECC UNQ6194/PRO20221	UP000005640: Chromosome 3	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]
Q9H3R5	reviewed	CENPH ICEN35	UP000005640: Chromosome 5	chromosome [GO:0005694]; cytosol [GO:0005829]; inner kinetochore [GO:0000939]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H3S1	reviewed	SEMA4A SEMAB SEMB UNQ783/PRO1317	UP000005640: Chromosome 1	plasma membrane [GO:0005886]
Q9H3S3	reviewed	TMPRSS5	UP000005640: Chromosome 11	neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]
Q9H3S4	reviewed	TPK1	UP000005640: Chromosome 7	cytosol [GO:0005829]
Q9H3S7	reviewed	PTPN23 KIAA1471	UP000005640: Chromosome 3	ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H3T2	reviewed	SEMA6C KIAA1869 SEMAY	UP000005640: Chromosome 1	cell surface [GO:0009986]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q9H3T3	reviewed	SEMA6B SEMAN SEMAZ UNQ1907/PRO4353	UP000005640: Chromosome 19	plasma membrane [GO:0005886]
Q9H3U1	reviewed	UNC45A SMAP1	UP000005640: Chromosome 15	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; perinuclear region of cytoplasm [GO:0048471]
Q9H3U5	reviewed	MFSD1 SMAP4 UG0581B09	UP000005640: Chromosome 3	lysosomal membrane [GO:0005765]; lysosome [GO:0005764]
Q9H3U7	reviewed	SMOC2 SMAP2 MSTP117	UP000005640: Chromosome 6	basement membrane [GO:0005604]; cell periphery [GO:0071944]; extracellular space [GO:0005615]
Q9H3Y6	reviewed	SRMS C20orf148	UP000005640: Chromosome 20	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q9H3Z4	reviewed	DNAJC5 CLN4	UP000005640: Chromosome 20	azurophil granule membrane [GO:0035577]; chromaffin granule membrane [GO:0042584]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; specific granule membrane [GO:0035579]; synaptic vesicle membrane [GO:0030672]
Q9H400	reviewed	LIME1 LIME LP8067	UP000005640: Chromosome 20	B cell receptor complex [GO:0019815]; extracellular space [GO:0005615]
Q9H410	reviewed	DSN1 C20orf172 MIS13	UP000005640: Chromosome 20	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular region [GO:0005576]; fibrillar center [GO:0001650]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q9H422	reviewed	HIPK3 DYRK6 FIST3 PKY	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; PML body [GO:0016605]
Q9H427	reviewed	KCNK15 TASK5	UP000005640: Chromosome 20	monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]
Q9H444	reviewed	CHMP4B C20orf178 SHAX1	UP000005640: Chromosome 20	amphisome membrane [GO:1904930]; autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; endosome [GO:0005768]; ESCRT III complex [GO:0000815]; extracellular exosome [GO:0070062]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lysosomal membrane [GO:0005765]; membrane coat [GO:0030117]; midbody [GO:0030496]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vesicle [GO:0031982]
Q9H461	reviewed	FZD8	UP000005640: Chromosome 10	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; neuronal dense core vesicle [GO:0098992]; plasma membrane [GO:0005886]; Wnt-Frizzled-LRP5/6 complex [GO:1990851]
Q9H467	reviewed	CUEDC2 C10orf66 HOYS6	UP000005640: Chromosome 10	cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]
Q9H469	reviewed	FBXL15 FBXO37	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]
Q9H477	reviewed	RBKS RBSK	UP000005640: Chromosome 2	cytosol [GO:0005829]; nucleus [GO:0005634]
Q9H479	reviewed	FN3K	UP000005640: Chromosome 17	cytosol [GO:0005829]
Q9H488	reviewed	POFUT1 FUT12 KIAA0180	UP000005640: Chromosome 20	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
Q9H490	reviewed	PIGU CDC91L1 PSEC0205 UNQ3055/PRO9875	UP000005640: Chromosome 20	endoplasmic reticulum membrane [GO:0005789]; GPI-anchor transamidase complex [GO:0042765]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9H492	reviewed	MAP1LC3A	UP000005640: Chromosome 20	autolysosome [GO:0044754]; autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; microtubule [GO:0005874]; organelle membrane [GO:0031090]
Q9H497	reviewed	TOR3A ADIR	UP000005640: Chromosome 1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; nuclear envelope [GO:0005635]
Q9H4A3	reviewed	WNK1 HSN2 KDP KIAA0344 PRKWNK1	UP000005640: Chromosome 12	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular non-membrane-bounded organelle [GO:0043232]; membrane [GO:0016020]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9H4A5	reviewed	GOLPH3L GPP34R	UP000005640: Chromosome 1	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]
Q9H4A6	reviewed	GOLPH3 GPP34	UP000005640: Chromosome 5	cytosol [GO:0005829]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
Q9H4A9	reviewed	DPEP2 UNQ284/PRO323	UP000005640: Chromosome 16	membrane [GO:0016020]; side of membrane [GO:0098552]
Q9H4B0	reviewed	OSGEPL1 GCP1	UP000005640: Chromosome 2	mitochondrion [GO:0005739]
Q9H4B4	reviewed	PLK3 CNK FNK PRK	UP000005640: Chromosome 1	centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; Golgi stack [GO:0005795]; kinetochore [GO:0000776]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q9H4B6	reviewed	SAV1 WW45	UP000005640: Chromosome 14	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q9H4B7	reviewed	TUBB1	UP000005640: Chromosome 20	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]
Q9H4D0	reviewed	CLSTN2 CS2	UP000005640: Chromosome 3	cell surface [GO:0009986]; dendrite [GO:0030425]; endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]
Q9H4D5	reviewed	NXF3 TAPL3	UP000005640: Chromosome X	cytoplasm [GO:0005737]; nuclear RNA export factor complex [GO:0042272]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H4E5	reviewed	RHOJ ARHJ RASL7B RHOI TCL	UP000005640: Chromosome 14	extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]
Q9H4E7	reviewed	DEF6 IBP	UP000005640: Chromosome 6	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q9H4F1	reviewed	ST6GALNAC4 SIAT3C SIAT7D	UP000005640: Chromosome 9	Golgi membrane [GO:0000139]
Q9H4F8	reviewed	SMOC1	UP000005640: Chromosome 14	basement membrane [GO:0005604]; extracellular space [GO:0005615]
Q9H4G0	reviewed	EPB41L1 KIAA0338	UP000005640: Chromosome 20	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q9H4G4	reviewed	GLIPR2 C9orf19 GAPR1	UP000005640: Chromosome 9	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]
Q9H4H8	reviewed	FAM83D C20orf129	UP000005640: Chromosome 20	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]; spindle [GO:0005819]
Q9H4I2	reviewed	ZHX3 KIAA0395 TIX1	UP000005640: Chromosome 20	chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H4I9	reviewed	SMDT1 C22orf32 EMRE	UP000005640: Chromosome 22	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; uniplex complex [GO:1990246]
Q9H4K7	reviewed	MTG2 GTPBP5 OBGH1	UP000005640: Chromosome 20	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]
Q9H4L4	reviewed	SENP3 SSP3 SUSP3	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; MLL1 complex [GO:0071339]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H4L5	reviewed	OSBPL3 KIAA0704 ORP3 OSBP3	UP000005640: Chromosome 7	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; filopodium tip [GO:0032433]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]
Q9H4L7	reviewed	SMARCAD1 KIAA1122	UP000005640: Chromosome 4	heterochromatin [GO:0000792]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
Q9H4M3	reviewed	FBXO44 FBG3 FBX30 FBX44 FBX6A FBXO6A	UP000005640: Chromosome 1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]
Q9H4M7	reviewed	PLEKHA4 PEPP1	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]
Q9H4M9	reviewed	EHD1 PAST PAST1 CDABP0131	UP000005640: Chromosome 11	ciliary pocket membrane [GO:0020018]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; lipid droplet [GO:0005811]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; recycling endosome membrane [GO:0055038]
Q9H4P4	reviewed	RNF41 FLRF NRDP1 SBBI03	UP000005640: Chromosome 12	cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; perinuclear region of cytoplasm [GO:0048471]
Q9H4Q3	reviewed	PRDM13 PFM10	UP000005640: Chromosome 6	nucleus [GO:0005634]
Q9H4Q4	reviewed	PRDM12 PFM9	UP000005640: Chromosome 9	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H4S2	reviewed	GSX1 GSH1	UP000005640: Chromosome 13	chromatin [GO:0000785]; nucleus [GO:0005634]
Q9H4T2	reviewed	ZSCAN16 ZNF392 ZNF435	UP000005640: Chromosome 6	nucleus [GO:0005634]
Q9H4W6	reviewed	EBF3 COE3	UP000005640: Chromosome 10	chromatin [GO:0000785]; nucleus [GO:0005634]
Q9H4X1	reviewed	RGCC C13orf15 RGC32	UP000005640: Chromosome 13	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H4Y5	reviewed	GSTO2	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]
Q9H4Z2	reviewed	ZNF335	UP000005640: Chromosome 20	histone methyltransferase complex [GO:0035097]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H4Z3	reviewed	PCIF1 C20orf67 CAPAM PPP1R121	UP000005640: Chromosome 20	intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H503	reviewed	BANF2 BAFL C20orf179	UP000005640: Chromosome 20	condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9H553	reviewed	ALG2 UNQ666/PRO1298	UP000005640: Chromosome 9	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
Q9H582	reviewed	ZNF644 KIAA1221 ZEP2	UP000005640: Chromosome 1	nucleus [GO:0005634]
Q9H583	reviewed	HEATR1 BAP28 UTP10	UP000005640: Chromosome 1	90S preribosome [GO:0030686]; fibrillar center [GO:0001650]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; t-UTP complex [GO:0034455]
Q9H596	reviewed	DUSP21 LMWDSP21	UP000005640: Chromosome X	axonemal A tubule inner sheath [GO:0160111]; cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]
Q9H598	reviewed	SLC32A1 VGAT VIAAT	UP000005640: Chromosome 20	cell surface [GO:0009986]; cell tip [GO:0051286]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cone cell pedicle [GO:0044316]; dendrite [GO:0030425]; dendrite terminus [GO:0044292]; GABA-ergic synapse [GO:0098982]; inhibitory synapse [GO:0060077]; neuron projection [GO:0043005]; neuron projection terminus [GO:0044306]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; presynaptic active zone [GO:0048786]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]
Q9H5F2	reviewed	CFAP68 C11orf1	UP000005640: Chromosome 11	axonemal A tubule inner sheath [GO:0160111]; axoneme [GO:0005930]; nucleoplasm [GO:0005654]
Q9H5H4	reviewed	ZNF768	UP000005640: Chromosome 16	chromosome [GO:0005694]; nucleus [GO:0005634]
Q9H5I1	reviewed	SUV39H2 KMT1B	UP000005640: Chromosome 10	chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H5I5	reviewed	PIEZO2 C18orf30 C18orf58 FAM38B	UP000005640: Chromosome 18	plasma membrane [GO:0005886]
Q9H5J4	reviewed	ELOVL6 FACE LCE	UP000005640: Chromosome 4	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase complex [GO:0009923]
Q9H5J8	reviewed	TAF1D JOSD3	UP000005640: Chromosome 11	centriolar satellite [GO:0034451]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; RNA polymerase transcription factor SL1 complex [GO:0005668]
Q9H5K3	reviewed	POMK SGK196	UP000005640: Chromosome 8	endoplasmic reticulum membrane [GO:0005789]
